LAPINDEX,DATE,TIME,LAPTIME,DISTANCE_KM,DISTANCE_MILE,VEHICLE[Unspecified;'07 Porsche 911],TRACK[Unspecified;NordschleifeBTG;Thunderhill 5mi;Laguna Seca],INTERMEDIATE1,INTERMEDIATE2,INTERMEDIATE3,INTERMEDIATE4,INTERMEDIATE5,INTERMEDIATE6,INTERMEDIATE7,INTERMEDIATE8,NOTE,TAGS
32,07-NOV-16,09:01:39.00,02:20.05,3.433600,2.133540,1,3,00:57.88,01:43.30,00:00.00,00:00.00,00:00.00,00:00.00,00:00.00,00:00.00,"",Me
33,07-NOV-16,09:03:59.00,01:58.09,3.510800,2.181510,1,3,00:46.66,01:25.99,00:00.00,00:00.00,00:00.00,00:00.00,00:00.00,00:00.00,"",Me
34,07-NOV-16,09:05:57.00,01:49.28,3.524600,2.190085,1,3,00:40.62,01:17.36,00:00.00,00:00.00,00:00.00,00:00.00,00:00.00,00:00.00,"",Me
35,07-NOV-16,09:07:47.00,01:47.64,3.522700,2.188904,1,3,00:40.76,01:17.45,00:00.00,00:00.00,00:00.00,00:00.00,00:00.00,00:00.00,"",Me
36,07-NOV-16,09:09:35.00,01:47.57,3.527000,2.191576,1,3,00:40.38,01:16.87,00:00.00,00:00.00,00:00.00,00:00.00,00:00.00,00:00.00,"",Me
37,07-NOV-16,09:11:23.00,01:51.93,3.516200,2.184865,1,3,00:43.98,01:21.74,00:00.00,00:00.00,00:00.00,00:00.00,00:00.00,00:00.00,"",Me
38,07-NOV-16,09:13:14.00,01:47.19,3.525500,2.190644,1,3,00:40.18,01:16.43,00:00.00,00:00.00,00:00.00,00:00.00,00:00.00,00:00.00,"",Me
39,07-NOV-16,09:15:01.00,01:53.27,3.521200,2.187972,1,3,00:40.34,01:21.89,00:00.00,00:00.00,00:00.00,00:00.00,00:00.00,00:00.00,"",Me
40,07-NOV-16,09:16:54.00,03:06.14,3.579800,2.224385,1,3,00:40.32,01:18.73,00:00.00,00:00.00,00:00.00,00:00.00,00:00.00,00:00.00,"",Me
41,07-NOV-16,10:09:01.00,01:58.52,3.469000,2.155537,1,3,00:51.67,01:28.12,00:00.00,00:00.00,00:00.00,00:00.00,00:00.00,00:00.00,"",Me
42,07-NOV-16,10:10:59.00,01:46.10,3.526100,2.191017,1,3,00:39.63,01:15.26,00:00.00,00:00.00,00:00.00,00:00.00,00:00.00,00:00.00,"",Me
43,07-NOV-16,10:12:46.00,01:45.97,3.531600,2.194434,1,3,00:39.61,01:15.78,00:00.00,00:00.00,00:00.00,00:00.00,00:00.00,00:00.00,"",Me
44,07-NOV-16,10:14:32.00,01:44.60,3.532800,2.195180,1,3,00:39.45,01:15.02,00:00.00,00:00.00,00:00.00,00:00.00,00:00.00,00:00.00,"",Me
45,07-NOV-16,10:16:16.00,01:45.28,3.539400,2.199281,1,3,00:39.38,01:15.42,00:00.00,00:00.00,00:00.00,00:00.00,00:00.00,00:00.00,"",Me
46,07-NOV-16,10:18:01.00,06:12.00,3.583000,2.226373,1,3,00:39.92,01:17.87,00:00.00,00:00.00,00:00.00,00:00.00,00:00.00,00:00.00,"",Me
47,07-NOV-16,11:04:54.00,02:00.99,3.461600,2.150939,1,3,00:50.43,01:28.44,00:00.00,00:00.00,00:00.00,00:00.00,00:00.00,00:00.00,"",Me
48,07-NOV-16,11:06:54.00,01:48.02,3.529000,2.192819,1,3,00:40.80,01:17.25,00:00.00,00:00.00,00:00.00,00:00.00,00:00.00,00:00.00,"",Me
49,07-NOV-16,11:08:42.00,01:49.46,3.524800,2.190209,1,3,00:40.05,01:16.62,00:00.00,00:00.00,00:00.00,00:00.00,00:00.00,00:00.00,"",Me
50,07-NOV-16,11:10:32.00,01:50.40,3.529100,2.192881,1,3,00:42.21,01:19.40,00:00.00,00:00.00,00:00.00,00:00.00,00:00.00,00:00.00,"",Me
51,07-NOV-16,11:12:23.00,01:51.54,3.524900,2.190271,1,3,00:43.27,01:20.36,00:00.00,00:00.00,00:00.00,00:00.00,00:00.00,00:00.00,"",Me
52,07-NOV-16,11:14:15.00,01:53.45,3.542000,2.200897,1,3,00:42.30,01:22.48,00:00.00,00:00.00,00:00.00,00:00.00,00:00.00,00:00.00,"",Me
53,07-NOV-16,11:16:08.00,01:47.92,3.531200,2.194186,1,3,00:40.86,01:17.09,00:00.00,00:00.00,00:00.00,00:00.00,00:00.00,00:00.00,"",Me
54,07-NOV-16,11:17:55.00,03:18.18,3.557000,2.210217,1,3,00:41.02,01:19.50,00:00.00,00:00.00,00:00.00,00:00.00,00:00.00,00:00.00,"",Me
